,title,URL,localization,surface,price,rent,num_of_rooms,building_material,heating,floor,num_of_floors,market,year,type_of_building,condition
2120,Mieszkanie w Inwestycji Apartamenty Dworzysko M-N2,https://www.otodom.pl/pl/oferta/mieszkanie-w-inwestycji-apartamenty-dworzysko-m-n2-ID4c2p4,"Rzeszów, Dworzysko, Technologiczna","59,29 m²",355 150 zł,,4,,,1,,pierwotny,2022,szeregowiec,
2121,Nowe Mieszkanie Apartamenty Dworzysko M-C2,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-apartamenty-dworzysko-m-c2-ID4c2kZ,"Rzeszów, Dworzysko, Technologiczna","59,29 m²",355 150 zł,,4,,,1,,pierwotny,2022,szeregowiec,
2122,Ostatnie wolne mieszkania ! Bez prowizji i Pcc,https://www.otodom.pl/pl/oferta/ostatnie-wolne-mieszkania-bez-prowizji-i-pcc-ID49z5y,"Krakowska, Rzeszów, podkarpackie","48,52 m²",334 788 zł,,3,pustak,,1,7,pierwotny,2022,blok,do wykończenia
2123,Luksusowe mieszkanie 4 - pokojowe jednopoziomowe,https://www.otodom.pl/pl/oferta/luksusowe-mieszkanie-4-pokojowe-jednopoziomowe-ID4aO9e,"Rzeszów, Drabinianka",81 m²,485 190 zł,,4,,,2,2,pierwotny,2021,blok,
2124,"Mieszkanie 87,01m2, 4pok. ul.Lubelska",https://www.otodom.pl/pl/oferta/mieszkanie-87-01m2-4pok-ul-lubelska-ID4cq10,"Rzeszów, Staromieście","87,01 m²",493 400 zł,,4,pustak,miejskie,1,8,wtórny,2022,blok,
2125,"Mieszkanie 73,05m2, 4pok. ul.Lubelska",https://www.otodom.pl/pl/oferta/mieszkanie-73-05m2-4pok-ul-lubelska-ID4cq0Z,"Rzeszów, podkarpackie","73,05 m²",437 400 zł,,4,pustak,miejskie,6,8,wtórny,2022,blok,
2126,Mieszkanie na sprzedaż z ogródkiem-480 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-z-ogrodkiem-480-000-zl-ID4ckOI,"Rzeszów, Drabinianka","43,24 m²",480 000 zł,,2,pustak,,parter,1,wtórny,,szeregowiec,
2127,"Mieszkanie w ścisłym centrum, przy ul. Wincentego",https://www.otodom.pl/pl/oferta/mieszkanie-w-scislym-centrum-przy-ul-wincentego-ID4cpZj,"Pola, Rzeszów, podkarpackie","61,40 m²",429 000 zł,,3,cegła,miejskie,2,3,wtórny,1990,blok,do zamieszkania
2128,Nowe Gotowe - Projektant - z oddzielną kuchnią,https://www.otodom.pl/pl/oferta/nowe-gotowe-projektant-z-oddzielna-kuchnia-ID4cpZ2,"Rzeszów, podkarpackie","62,84 m²",423 740 zł,,3,pustak,miejskie,6,6,pierwotny,2021,blok,do wykończenia
2129,Duży Apartament 75m2 Garaż Taras,https://www.otodom.pl/pl/oferta/duzy-apartament-75m2-garaz-taras-ID4cpYp,"Rzeszów, Przybyszówka","74,59 m²",410 245 zł,,3,inne,miejskie,parter,9,pierwotny,2022,apartamentowiec,do wykończenia
2130,Apartament 4 Pokoje Garaż 2 Balkony,https://www.otodom.pl/pl/oferta/apartament-4-pokoje-garaz-2-balkony-ID4cpYl,"Rzeszów, Przybyszówka","86,92 m²",469 368 zł,,4,inne,miejskie,3,9,pierwotny,2022,apartamentowiec,do wykończenia
2131,Apartament 4 Pokoje Garaż - Os.Przybyszówka,https://www.otodom.pl/pl/oferta/apartament-4-pokoje-garaz-os-przybyszowka-ID4cpYi,"Rzeszów, Przybyszówka","77,59 m²",430 625 zł,,4,inne,miejskie,7,9,pierwotny,2022,apartamentowiec,do wykończenia
2132,"Apartament 40m2, loggia Przybyszówka",https://www.otodom.pl/pl/oferta/apartament-40m2-loggia-przybyszowka-ID4cpYd,"Rzeszów, Przybyszówka","39,97 m²",259 805 zł,,2,inne,miejskie,6,,pierwotny,2022,apartamentowiec,do wykończenia
2133,Apartament 51m2 + loggia Przybyszówka,https://www.otodom.pl/pl/oferta/apartament-51m2-loggia-przybyszowka-ID4cpY8,"Rzeszów, Przybyszówka","50,84 m²",299 956 zł,,3,inne,miejskie,3,,pierwotny,2022,apartamentowiec,do wykończenia
2134,"Apartament 2pokojowy Przybyszówka 40m2, loggia",https://www.otodom.pl/pl/oferta/apartament-2pokojowy-przybyszowka-40m2-loggia-ID4cpY7,"Rzeszów, Przybyszówka",40 m²,256 000 zł,,2,inne,miejskie,3,,pierwotny,2022,apartamentowiec,do wykończenia
2135,Na sprzedaż mieszkanie w Rzeszowie ul. Kopisto,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-w-rzeszowie-ul-kopisto-ID4cpW4,"al. mjr. Wacława Kopisto, Rzeszów, podkarpackie","48,50 m²",449 000 zł,,2,,miejskie,1,4,wtórny,2015,apartamentowiec,do zamieszkania
2136,Na sprzedaż mieszkanie w Rzeszowie ul. Lenartowicz,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-w-rzeszowie-ul-lenartowicz-ID4cpUZ,"Teofila Aleksandra Lenartowicza, Rzeszów, podkarpackie","46,31 m²",299 900 zł,,2,,miejskie,6,10,wtórny,1980,blok,do zamieszkania
2137,Mieszkanie 4pok. przy Sikorskiego na lipiec 2021,https://www.otodom.pl/pl/oferta/mieszkanie-4pok-przy-sikorskiego-na-lipiec-2021-ID4b6Ax,"Rzeszów, podkarpackie","71,09 m²",400 000 zł,,4,pustak,gazowe,1,3,pierwotny,2021,blok,do wykończenia
2138,Ostatnie Mieszkania 3 Pokojowe- W Znakomitej Cenie,https://www.otodom.pl/pl/oferta/ostatnie-mieszkania-3-pokojowe-w-znakomitej-cenie-ID4biQ7,"Zaczernie, rzeszowski, podkarpackie","59,40 m²",326 700 zł,,3,,gazowe,1,1,pierwotny,2021,,do wykończenia
2139,Mieszkanie 3 pokoje obok Politechniki Rzeszowskiej,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-obok-politechniki-rzeszowskiej-ID4cpCQ,"Bohaterów Westerplatte, Rzeszów, podkarpackie","61,63 m²",485 000 zł,,3,cegła,miejskie,1,2,wtórny,1933,blok,do zamieszkania
2140,"Super oferta, mieszkanie 3 pok. z poddaszem+balkon",https://www.otodom.pl/pl/oferta/super-oferta-mieszkanie-3-pok-z-poddaszem-balkon-ID4bnGT,"Świętojańska, Rzeszów, podkarpackie","63,86 m²",335 265 zł,,3,pustak,gazowe,1,1,pierwotny,2022,,do wykończenia
2141,"Mieszkanie Kielanówka, 2 Pokoje",https://www.otodom.pl/pl/oferta/mieszkanie-kielanowka-2-pokoje-ID4cpqY,"Kielanówka, rzeszowski, podkarpackie","53,71 m²",338 373 zł,,2,cegła,gazowe,1,3,pierwotny,,dom wolnostojący,do wykończenia
2142,"Mieszkanie, Kielanówka, 2 Pokoje , Balkon, Kom. Lo",https://www.otodom.pl/pl/oferta/mieszkanie-kielanowka-2-pokoje-balkon-kom-lo-ID4cpqV,"Kielanówka, rzeszowski, podkarpackie","49,46 m²",316 544 zł,,2,cegła,gazowe,3,3,pierwotny,,dom wolnostojący,do wykończenia
2143,"Mieszkanie, Kielanówka, 2 Pokoje , Balkon",https://www.otodom.pl/pl/oferta/mieszkanie-kielanowka-2-pokoje-balkon-ID4cpqT,"Kielanówka, rzeszowski, podkarpackie","39,06 m²",261 702 zł,,2,cegła,gazowe,parter,3,pierwotny,,dom wolnostojący,do wykończenia
2144,Dwupoziomowe Mieszkanie Błogosławionej Karoliny,https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-blogoslawionej-karoliny-ID49JM2,"Rzeszów, podkarpackie","63,22 m²",366 676 zł,,2,,miejskie,8,8,pierwotny,2021,blok,do wykończenia
2145,Mieszkania na Grabskiego z widokiem na rzekę!,https://www.otodom.pl/pl/oferta/mieszkania-na-grabskiego-z-widokiem-na-rzeke-ID47hD0,"Rzeszów, Drabinianka, ul. Władysława Grabskiego",40 m²,400 000 zł,,2,,miejskie,1,8,pierwotny,2022,,do wykończenia
2146,GOTOWE | Wysoki Parter | 3 pokoje,https://www.otodom.pl/pl/oferta/gotowe-wysoki-parter-3-pokoje-ID4bOBr,"Krasne, rzeszowski, podkarpackie","75,80 m²",410 850 zł,1 zł,3,pustak,miejskie,parter,3,pierwotny,2020,apartamentowiec,do zamieszkania
2147,Gotowe 2 Pokojowe Mieszkanie - M. Garażowe w Cenie,https://www.otodom.pl/pl/oferta/gotowe-2-pokojowe-mieszkanie-m-garazowe-w-cenie-ID4cpj7,"Rzeszów, podkarpackie","90,53 m²",600 000 zł,,3,,miejskie,2,5,pierwotny,2020,blok,do wykończenia
2148,Gotowe - ul. Kolbego | Extra cena -> SPRAWDŹ,https://www.otodom.pl/pl/oferta/gotowe-ul-kolbego-extra-cena-sprawdz-ID4b7Qn,"Rzeszów, podkarpackie","54,43 m²",359 238 zł,,3,pustak,miejskie,1,6,pierwotny,20210,blok,do wykończenia
2149,"Mieszkanie 84 M2 Centrum Ul. Jabłońskiego, Rzeszów",https://www.otodom.pl/pl/oferta/mieszkanie-84-m2-centrum-ul-jablonskiego-rzeszow-ID4cp43,"Rzeszów, podkarpackie","84,81 m²",550 000 zł,,4,,miejskie,10,10,wtórny,1993,blok,do zamieszkania
2150,"Słocina, 45m2 + ogródek + 2 miejsca postojowe",https://www.otodom.pl/pl/oferta/slocina-45m2-ogrodek-2-miejsca-postojowe-ID4coVI,"Rzeszów, Słocina","45,38 m²",283 000 zł,,3,,,parter,1,pierwotny,2022,,
2151,"Słocina, 56m2 + poddasze + 2 miejsca postojowe",https://www.otodom.pl/pl/oferta/slocina-56m2-poddasze-2-miejsca-postojowe-ID4coVG,"Rzeszów, Słocina","56,28 m²",337 000 zł,,3,,,1,2,pierwotny,2022,,
2152,Dwa Pokoje - Krakowska,https://www.otodom.pl/pl/oferta/dwa-pokoje-krakowska-ID4bIzd,"Rzeszów, podkarpackie",43 m²,320 000 zł,500 zł,2,cegła,miejskie,4,4,wtórny,1966,blok,do zamieszkania
2153,Apartament Na 17-Piętrze - Hetmańska,https://www.otodom.pl/pl/oferta/apartament-na-17-pietrze-hetmanska-ID4bPs3,"Rzeszów, podkarpackie",98 m²,1 115 000 zł,500 zł,4,,miejskie,> 10,17,wtórny,2018,blok,do zamieszkania
2154,"Mieszkanie, 25,67 m², Rzeszów",https://www.otodom.pl/pl/oferta/mieszkanie-25-67-m-rzeszow-ID4baBt,"Rzeszów, podkarpackie","25,67 m²",199 000 zł,230 zł,2,,miejskie,9,14,wtórny,2020,blok,do wykończenia
2155,Mieszkanie 64 m2/ Centrum Rzeszowa ul.Grunwaldzka,https://www.otodom.pl/pl/oferta/mieszkanie-64-m2-centrum-rzeszowa-ul-grunwaldzka-ID4coRU,"Rzeszów, podkarpackie","64,23 m²",420 000 zł,,3,,miejskie,8,10,wtórny,1980,blok,do zamieszkania
2156,2 pokojowe mieszkanie- Rejtana,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-rejtana-ID4cf4U,"al. Tadeusza Rejtana, Rzeszów, podkarpackie","49,40 m²",355 000 zł,,2,cegła,miejskie,2,2,wtórny,,blok,do zamieszkania
2157,"Pakiet 430 000zł-mieszkanie,2 komórki,miejsce post",https://www.otodom.pl/pl/oferta/pakiet-430-000zl-mieszkanie-2-komorki-miejsce-post-ID4coK3,"Rzeszów, Przybyszówka","57,87 m²",430 000 zł,,4,pustak,miejskie,2,8,pierwotny,2021,blok,do wykończenia
2158,Mieszkanie inwestycyjne - Rzeszów/Baranówka,https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-rzeszow-baranowka-ID4coIQ,"Rzeszów, Baranówka, Ofiar Katynia","48,95 m²",320 000 zł,550 zł,3,wielka płyta,miejskie,4,4,wtórny,1980,blok,do zamieszkania
2159,3 pokoje z możliwości 4 - Solarza obok B1. 5650 m2,https://www.otodom.pl/pl/oferta/3-pokoje-z-mozliwosci-4-solarza-obok-b1-5650-m2-ID4c4ba,"Rzeszów, podkarpackie","63,50 m²",359 000 zł,500 zł,3,,miejskie,2,9,wtórny,1990,blok,do remontu
2160,Trzypokojowe Mieszkanie Apartamenty Dworzysko M-F1,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-apartamenty-dworzysko-m-f1-ID4c2rZ,"Rzeszów, Dworzysko, Technologiczna","46,88 m²",323 472 zł,,3,,,parter,,pierwotny,2022,szeregowiec,
2161,M3 w szeregówce - Z balkonem - Na ten rok! 0% Pcc,https://www.otodom.pl/pl/oferta/m3-w-szeregowce-z-balkonem-na-ten-rok-0-pcc-ID4covK,"Rzeszów, podkarpackie","60,52 m²",376 620 zł,,3,pustak,elektryczne,1,1,pierwotny,2021,,do wykończenia
2162,Mieszkanie 58m2 z ogródkiem - 0% Pcc - Na ten rok!,https://www.otodom.pl/pl/oferta/mieszkanie-58m2-z-ogrodkiem-0-pcc-na-ten-rok-ID4cory,"Rzeszów, podkarpackie","57,99 m²",353 739 zł,,3,pustak,elektryczne,parter,1,pierwotny,2021,,do wykończenia
2163,2 pokojowe mieszkanie w nowym budownictwie,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-nowym-budownictwie-ID4co6B,"Rzeszów, podkarpackie",32 m²,259 400 zł,,2,,miejskie,8,8,wtórny,2021,blok,do wykończenia
2164,✱Ogród✱ 2 m. parkingowe ✱ Niska zabudowa ✱,https://www.otodom.pl/pl/oferta/ogrod-2-m-parkingowe-niska-zabudowa-ID4co3D,"Zaczernie, rzeszowski, podkarpackie","56,70 m²",359 000 zł,,3,pustak,gazowe,1,1,pierwotny,2022,apartamentowiec,do wykończenia
2165,✱ Zwolniona Rezerwacja ✱ Taras ✱ Ogród ✱,https://www.otodom.pl/pl/oferta/zwolniona-rezerwacja-taras-ogrod-ID4co3B,"Rzeszów, Staroniwa","62,68 m²",465 492 zł,,3,pustak,gazowe,parter,4,pierwotny,2020,,do wykończenia
2166,"Mieszkanie na sprzedaż, Rzeszów, Pułaskiego",https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-rzeszow-pulaskiego-ID4cnGG,"Pułaskiego, Rzeszów, podkarpackie","39,70 m²",345 000 zł,,2,wielka płyta,miejskie,3,11,wtórny,1980,blok,do zamieszkania
2167,Gotowe 4 Pokojowe Mieszkanie - M. Garażowe w Cenie,https://www.otodom.pl/pl/oferta/gotowe-4-pokojowe-mieszkanie-m-garazowe-w-cenie-ID4cj28,"Rzeszów, podkarpackie","90,33 m²",525 780 zł,,4,,miejskie,parter,5,pierwotny,2020,blok,do wykończenia
2168,"1 piętro, osobna kuchnia, duży balkon",https://www.otodom.pl/pl/oferta/1-pietro-osobna-kuchnia-duzy-balkon-ID4bejQ,"Prymasa 1000-lecia, Rzeszów, podkarpackie","51,13 m²",490 000 zł,,2,pustak,gazowe,1,2,wtórny,2010,blok,do zamieszkania
2169,Atrakcyjne Mieszkanie Apartamenty Dworzysko M-G1,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-apartamenty-dworzysko-m-g1-ID4c2s0,"Rzeszów, Dworzysko, Technologiczna","46,88 m²",323 472 zł,,3,,,parter,,pierwotny,2022,szeregowiec,
2170,"Os. Projektant, 65m2 z balkonem, 2 piwnice",https://www.otodom.pl/pl/oferta/os-projektant-65m2-z-balkonem-2-piwnice-ID4cmQk,"Baligrodzka, Rzeszów, podkarpackie","65,40 m²",340 000 zł,219 zł,3,,,4,4,pierwotny,2014,,
2171,OSTATNI PARTER OGRÓDKIEM | PÓŁNOC,https://www.otodom.pl/pl/oferta/ostatni-parter-ogrodkiem-polnoc-ID4bHKF,"Rzeszów, podkarpackie","56,79 m²",369 000 zł,,3,cegła,gazowe,1,1,pierwotny,2021,apartamentowiec,do zamieszkania
2172,Ostatnie apartamenty Premium | 4 pokoje | Taras,https://www.otodom.pl/pl/oferta/ostatnie-apartamenty-premium-4-pokoje-taras-ID4bIeu,"Rzeszów, podkarpackie","103,07 m²",439 000 zł,1 zł,4,,,1,1,pierwotny,2021,apartamentowiec,do zamieszkania
2173,Mieszkanie z ogródkiem 40/50m2 | POŁUDNIE,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-40-50m2-poludnie-ID4bIb8,"Rzeszów, Miłocin","54,30 m²",339 000 zł,1 zł,3,cegła,gazowe,parter,1,pierwotny,2021,apartamentowiec,do wykończenia
2174,"5 pokoi, 82,5m2, duże możliwości aranżacji",https://www.otodom.pl/pl/oferta/5-pokoi-82-5m2-duze-mozliwosci-aranzacji-ID4cmjE,"bł. Karoliny, Rzeszów, podkarpackie","82,50 m²",439 000 zł,,5,pustak,miejskie,4,8,pierwotny,2021,blok,do wykończenia
2175,Luksusowe mieszkanie z ogrodem os.Słocina,https://www.otodom.pl/pl/oferta/luksusowe-mieszkanie-z-ogrodem-os-slocina-ID4clTo,"św. Rocha, Rzeszów, podkarpackie",57 m²,490 000 zł,,3,pustak,gazowe,parter,,wtórny,2020,szeregowiec,do zamieszkania
2176,Mieszkanie 51m2 przy Rynku Gotowe do Zamieszkania!,https://www.otodom.pl/pl/oferta/mieszkanie-51m2-przy-rynku-gotowe-do-zamieszkania-ID4clTi,"Juliusza Słowackiego, Rzeszów, podkarpackie","51,20 m²",475 000 zł,,3,,miejskie,4,4,wtórny,1980,kamienica,do zamieszkania
2177,Mieszkanie 48m2 w Topowej Lokalizacji!!!Sky Res,https://www.otodom.pl/pl/oferta/mieszkanie-48m2-w-topowej-lokalizacji-sky-res-ID4clxJ,"Warszawska, Rzeszów, podkarpackie",48 m²,519 000 zł,419 zł,2,wielka płyta,miejskie,5,10,wtórny,,apartamentowiec,do zamieszkania
2178,Gotowe Trzy Pokoje - Miejsce i Komórka lok w Cenie,https://www.otodom.pl/pl/oferta/gotowe-trzy-pokoje-miejsce-i-komorka-lok-w-cenie-ID4clbm,"Rzeszów, podkarpackie","63,49 m²",442 836 zł,,3,,miejskie,1,5,pierwotny,2020,blok,do wykończenia
2179,Dwupoziomowe Mieszkanie Rzeszów Herbowa! Antresola,https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-rzeszow-herbowa-antresola-ID4amwR,"Rzeszów, podkarpackie","121,06 m²",641 618 zł,,4,pustak,gazowe,1,1,pierwotny,2021,blok,do wykończenia
2180,Mieszkanie 3 pokoje z 2 balkonami * nowe,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-z-2-balkonami-nowe-ID4ckJQ,"Rzeszów, Biała, Wojtyły","66,42 m²",380 000 zł,,3,pustak,,3,3,pierwotny,2020,blok,
2181,"Mieszkanie 3 Pokoje, 58m2 Parter Ogródek - Os. Bi",https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-58m2-parter-ogrodek-os-bi-ID4cktD,"Rzeszów, Biała","57,93 m²",393 924 zł,,3,inne,gazowe,parter,1,pierwotny,2021,dom wolnostojący,do wykończenia
2182,Nowe Mieszkania Sikorskiego / Biała,https://www.otodom.pl/pl/oferta/nowe-mieszkania-sikorskiego-biala-ID4cktC,"Rzeszów, Biała","60,02 m²",408 136 zł,,3,inne,gazowe,1,1,pierwotny,2021,dom wolnostojący,do wykończenia
2183,Przytulne Mieszkanie Apartamenty Dworzysko M-M1,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-apartamenty-dworzysko-m-m1-ID4c2sl,"Rzeszów, Dworzysko, Technologiczna","46,88 m²",323 472 zł,,3,,,parter,,pierwotny,2022,szeregowiec,
2184,"Nowoczesne Mieszkanie, 5 Pokoi, Os. Projektant",https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-5-pokoi-os-projektant-ID4bXJV,"bł. Karoliny, Rzeszów, podkarpackie","82,31 m²",428 012 zł,,5,pustak,miejskie,parter,8,pierwotny,2021,blok,do wykończenia
2185,"2 Pokoje + Balkon, Os. Architektów / II Kw. 2023",https://www.otodom.pl/pl/oferta/2-pokoje-balkon-os-architektow-ii-kw-2023-ID4c0he,"Architektów, Rzeszów, podkarpackie","37,19 m²",312 396 zł,,2,,miejskie,parter,9,pierwotny,2023,blok,do wykończenia
2186,"Mieszkanie 5 pokoi + 2 Loggie, na os. Projektant.",https://www.otodom.pl/pl/oferta/mieszkanie-5-pokoi-2-loggie-na-os-projektant-ID4cgaf,"bł. Karoliny, Rzeszów, podkarpackie","82,50 m²",439 000 zł,,5,,miejskie,3,9,pierwotny,2021,blok,do wykończenia
2187,Gotowe na jesień tego roku! Mieszkanie z ogrodem!,https://www.otodom.pl/pl/oferta/gotowe-na-jesien-tego-roku-mieszkanie-z-ogrodem-ID4ckoo,"Rzeszów, podkarpackie","60,52 m²",359 000 zł,,3,pustak,elektryczne,parter,,pierwotny,2021,,do wykończenia
2188,Mieszkanie z ogrodem na ten rok! 60m2 - Okazja,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodem-na-ten-rok-60m2-okazja-ID4ckom,"Rzeszów, podkarpackie","60,52 m²",385 000 zł,,3,pustak,elektryczne,parter,,pierwotny,2021,,do wykończenia
2189,2-pokojowe mieszkanie przy Architektów !,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-przy-architektow-ID4bYOS,"Rzeszów, podkarpackie","37,19 m²",312 396 zł,,2,pustak,miejskie,4,7,pierwotny,2022,blok,do wykończenia
2190,"Mieszkanie 78 m2 z tarasem, Blisko Centrum",https://www.otodom.pl/pl/oferta/mieszkanie-78-m2-z-tarasem-blisko-centrum-ID4bzj5,"Zagłoby, Rzeszów, podkarpackie","77,60 m²",650 000 zł,,3,pustak,miejskie,4,6,wtórny,2011,blok,do zamieszkania
2191,Mieszkanie 37 m2 w ścisłym centrum - Jagiellońska,https://www.otodom.pl/pl/oferta/mieszkanie-37-m2-w-scislym-centrum-jagiellonska-ID4auVF,"Jagiellońska, Rzeszów, podkarpackie","37,10 m²",280 000 zł,,1,cegła,miejskie,1,3,wtórny,1970,blok,do remontu
2192,Trzy pokojowe mieszkanie na parterze,https://www.otodom.pl/pl/oferta/trzy-pokojowe-mieszkanie-na-parterze-ID4bYXh,"Urocza, Rzeszów, podkarpackie","63,39 m²",422 000 zł,,3,pustak,miejskie,parter,3,pierwotny,2020,blok,do wykończenia
2193,Projektant | OSTATNIE MIESZKANIE W TYM METRAŻU,https://www.otodom.pl/pl/oferta/projektant-ostatnie-mieszkanie-w-tym-metrazu-ID4bPjW,"Rzeszów, Przybyszówka","82,50 m²",439 000 zł,,5,pustak,miejskie,1,8,pierwotny,2021,blok,do wykończenia
2194,mieszkanie 41m2 ul. Ks. Jałowego,https://www.otodom.pl/pl/oferta/mieszkanie-41m2-ul-ks-jalowego-ID4cjJn,"ks. Józefa Jałowego, Rzeszów, podkarpackie",41 m²,360 000 zł,330 zł,2,cegła,miejskie,2,4,wtórny,,blok,do zamieszkania
2195,wyjątkowe M3 w świetnej lokalizacji,https://www.otodom.pl/pl/oferta/wyjatkowe-m3-w-swietnej-lokalizacji-ID4cjHr,"os. Wilkowyja, Rzeszów, podkarpackie",67 m²,403 000 zł,,3,beton,miejskie,4,,wtórny,,blok,do zamieszkania
2196,Ekskluzywny apartament na sprzedaż 76 m2-599000 zł,https://www.otodom.pl/pl/oferta/ekskluzywny-apartament-na-sprzedaz-76-m2-599000-zl-ID4cjBU,"Rzeszów, Przybyszówka","76,50 m²",599 000 zł,,4,pustak,,1,4,wtórny,2018,,
2197,Wysoki Standard! Mieszkanie 45m2 z ogródkiem 104m2,https://www.otodom.pl/pl/oferta/wysoki-standard-mieszkanie-45m2-z-ogrodkiem-104m2-ID4cjBO,"Kwiatkowskiego, Rzeszów, podkarpackie","44,82 m²",460 000 zł,,2,pustak,gazowe,parter,1,wtórny,,szeregowiec,do zamieszkania
2198,Świetna Lokalizacja!! Mieszkanie 43m2 ul.Jałowego,https://www.otodom.pl/pl/oferta/swietna-lokalizacja-mieszkanie-43m2-ul-jalowego-ID4cjzH,"Ks.Jałowego, Rzeszów, podkarpackie","42,93 m²",320 000 zł,400 zł,2,cegła,miejskie,3,,wtórny,,blok,
2199,Nowe Mieszkanie 2-pokojowe Nowoczesne Pobitno M3,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-2-pokojowe-nowoczesne-pobitno-m3-ID48BNi,"Rzeszów, Pobitno, ul. Małopolska","60,66 m²",398 422 zł,,3,,,1,,pierwotny,2021,,
2200,"Apartament Z OGRÓDKIEM | 59,29 m2",https://www.otodom.pl/pl/oferta/apartament-z-ogrodkiem-59-29-m2-ID4cjdq,"ul. Dworzysko, Rzeszów, podkarpackie","59,29 m²",332 024 zł,,4,,gazowe,1,1,pierwotny,2022,apartamentowiec,do wykończenia
2201,"Apartament Z OGRÓDKIEM | 46,88 m2",https://www.otodom.pl/pl/oferta/apartament-z-ogrodkiem-46-88-m2-ID4cj6m,"ul. Dworzysko, Rzeszów, podkarpackie","46,88 m²",304 720 zł,,3,,gazowe,parter,1,pierwotny,2022,apartamentowiec,do wykończenia
2202,Gotowe Dwa Pokoje - Miejsce i Komórka lok. w Cenie,https://www.otodom.pl/pl/oferta/gotowe-dwa-pokoje-miejsce-i-komorka-lok-w-cenie-ID4cj2a,"Rzeszów, podkarpackie","65,88 m²",434 520 zł,,2,,miejskie,3,5,pierwotny,2020,blok,do wykończenia
2203,Mieszkanie w zabudowie szeregowej z ogródkiem!!,https://www.otodom.pl/pl/oferta/mieszkanie-w-zabudowie-szeregowej-z-ogrodkiem-ID4ciNw,"al. gen. Sikorskiego, Rzeszów, podkarpackie","50,93 m²",331 000 zł,,2,pustak,gazowe,parter,1,wtórny,2020,szeregowiec,do wykończenia
2204,Mieszkanie 4 pokojowe po remoncie. Okazja!,https://www.otodom.pl/pl/oferta/mieszkanie-4-pokojowe-po-remoncie-okazja-ID4cig4,"Rzeszów, Nowe Miasto, Księdza Jerzego Popiełuszki",64 m²,400 000 zł,,4,wielka płyta,miejskie,9,10,wtórny,1983,blok,
2205,Do zamieszkania - 55m2 z tarasem - Wilkowyja,https://www.otodom.pl/pl/oferta/do-zamieszkania-55m2-z-tarasem-wilkowyja-ID4cidI,"Rzeszów, podkarpackie",55 m²,369 000 zł,,3,,miejskie,2,4,wtórny,1994,blok,do zamieszkania
2206,Mieszkanie 3 pokoje ul. Świadka– 54 m2,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-ul-swiadka-54-m2-ID4bZQJ,"Witolda Świadka, Rzeszów, podkarpackie",54 m²,368 000 zł,500 zł,3,wielka płyta,miejskie,> 10,11,wtórny,1975,blok,do zamieszkania
2207,Trzypokojowe mieszkanie - Bł. Karoliny Rzeszów,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-bl-karoliny-rzeszow-ID4bYcI,"bł. Karoliny, Rzeszów, podkarpackie","58,86 m²",341 388 zł,,3,pustak,miejskie,1,8,pierwotny,2023,blok,do wykończenia
2208,"Nowe mieszkanie, 67m2, Pobitno, 3 pokoje, taras",https://www.otodom.pl/pl/oferta/nowe-mieszkanie-67m2-pobitno-3-pokoje-taras-ID4b9sv,"Rzeszów, Pobitno, Małopolska","67,12 m²",550 000 zł,460 zł,3,cegła,miejskie,5,17,wtórny,2019,blok,do zamieszkania
2209,3 oddzielne pokoje- Centrum- ulica Staszica,https://www.otodom.pl/pl/oferta/3-oddzielne-pokoje-centrum-ulica-staszica-ID4bUx4,"Stanisława Staszica, Rzeszów, podkarpackie","48,35 m²",349 000 zł,,3,,miejskie,1,3,wtórny,,blok,
2210,"Przestronne, dwupoziomowe mieszkanie",https://www.otodom.pl/pl/oferta/przestronne-dwupoziomowe-mieszkanie-ID4bzzh,"Zabłocie, Rzeszów, podkarpackie","96,30 m²",530 000 zł,,4,,gazowe,6,7,wtórny,2009,,do zamieszkania
