,title,URL,localization,surface,price,rent,num_of_rooms,building_material,heating,floor,num_of_floors,market,year,type_of_building,condition
39,2-pokoje z ogródkiem | Dębowy Park 2.0 | Miła,https://www.otodom.pl/pl/oferta/2-pokoje-z-ogrodkiem-debowy-park-2-0-mila-ID474X0,"Rzeszów, Drabinianka, Miła","36,06 m²",269 900 zł,,2,pustak,,parter,4,pierwotny,2020,blok,do wykończenia
40,Ostatnie 3 pokoje z ogródkiem | os. Drabinianka,https://www.otodom.pl/pl/oferta/ostatnie-3-pokoje-z-ogrodkiem-os-drabinianka-ID474YB,"Rzeszów, Drabinianka, Miła","52,80 m²",369 000 zł,,3,pustak,inne,parter,4,pierwotny,2020,blok,do wykończenia
41,Gotowe mieszkanie w spokojnej okolicy,https://www.otodom.pl/pl/oferta/gotowe-mieszkanie-w-spokojnej-okolicy-ID4dA2d,"kpt. Edwarda Brydaka, Rzeszów, podkarpackie","58,50 m²",389 000 zł,,3,,miejskie,4,4,wtórny,1978,blok,do zamieszkania
42,Nowe mieszkanie w inwestycji Wschodnia 15 | F2,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-w-inwestycji-wschodnia-15-f2-ID4bAnT,"Rzeszów, Zalesie, al. gen. Władysława Sikorskiego","60,02 m²",408 136 zł,,3,pustak,gazowe,1,1,pierwotny,2021,szeregowiec,do wykończenia
43,Mieszkanie w inwestycji Wschodnia 15 | H1,https://www.otodom.pl/pl/oferta/mieszkanie-w-inwestycji-wschodnia-15-h1-ID4bAo5,"Rzeszów, Zalesie, al. gen. Władysława Sikorskiego","57,93 m²",393 924 zł,,3,pustak,gazowe,parter,1,pierwotny,2021,szeregowiec,do wykończenia
44,"Unikalne, w samym centrum Rzeszowa - dostępne",https://www.otodom.pl/pl/oferta/unikalne-w-samym-centrum-rzeszowa-dostepne-ID4cS1v,"ul. Zofii Chrzanowskiej, Rzeszów, podkarpackie","82,50 m²",569 000 zł,700 zł,4,pustak,miejskie,3,4,wtórny,1996,blok,do zamieszkania
45,Trzy Pokoje z Ogromnym Potencjałem - Dąbrowskiego,https://www.otodom.pl/pl/oferta/trzy-pokoje-z-ogromnym-potencjalem-dabrowskiego-ID4cFqr,"Rzeszów, podkarpackie","58,40 m²",419 000 zł,562 zł,3,cegła,miejskie,parter,4,wtórny,1961,blok,do zamieszkania
46,Trzy Pokoje w Północnej Części Rzeszowa,https://www.otodom.pl/pl/oferta/trzy-pokoje-w-polnocnej-czesci-rzeszowa-ID4dtU3,"Rzeszów, podkarpackie",53 m²,379 000 zł,400 zł,3,pustak,miejskie,3,10,wtórny,1980,blok,do zamieszkania
47,Przytulne Mieszkanie Osiedle Architektów B3.4.M135,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-osiedle-architektow-b3-4-m135-ID4dA04,"Rzeszów, Staroniwa, ul. Architektów","38,06 m²",319 704 zł,,2,,,4,8,pierwotny,2023,blok,
48,Twoje pierwsze mieszkanie z ogromnym TARASEM!,https://www.otodom.pl/pl/oferta/twoje-pierwsze-mieszkanie-z-ogromnym-tarasem-ID4c2oX,"Rzeszów, Drabinianka, Miła 29 G","92,15 m²",598 975 zł,,4,,miejskie,5,5,pierwotny,2021,blok,do wykończenia
49,Twoje pierwsze mieszkanie - 3 pokoje - sprawdź!,https://www.otodom.pl/pl/oferta/twoje-pierwsze-mieszkanie-3-pokoje-sprawdz-ID4c0UI,"Rzeszów, Drabinianka, Miła 29 G","54,98 m²",343 625 zł,,3,,miejskie,3,5,pierwotny,2021,blok,do wykończenia
50,Wygodne Mieszkanie Osiedle Architektów B3.4.M133,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-osiedle-architektow-b3-4-m133-ID4dzZo,"Rzeszów, Staroniwa, ul. Architektów","38,46 m²",323 064 zł,,2,,,4,,pierwotny,2023,blok,
